uid,iid,pop_value,time
325,1,0.00446,963640800
309,1,0.00493,973469629
333,1,0.00471,976046409
425,1,0.00467,967230521
415,1,0.00412,984860835
533,1,0.0048,974757738
387,1,0.00453,968884814
426,1,0.00478,973810612
534,1,0.0048,974705623
506,1,0.0048,974697159
450,1,0.00443,968628962
338,1,0.00434,961180205
573,1,0.00431,961985656
357,1,0.00449,964979258
389,1,0.00465,966568825
366,1,0.0048,974693838
603,1,0.0048,974772515
368,1,0.00472,975979213
659,1,0.00478,975127072
414,1,0.00472,975991830
350,1,0.00477,975201546
370,1,0.00479,973996307
560,1,0.00166,1001781199
465,1,0.00443,965339719
969,1,0.00476,975471631
520,1,0.00481,974820363
392,1,0.00477,975018596
487,1,0.00434,962833670
549,1,0.00478,975135830
486,1,0.00455,965239150
503,1,0.00486,972588413
388,1,0.00428,961366838
436,1,0.00477,974603567
453,1,0.00493,973458428
433,1,0.00447,965072568
451,1,0.00432,962762468
427,1,0.00487,973658451
556,1,0.00471,976205854
489,1,0.00429,968418570
408,1,0.00479,974654633
586,1,0.00285,979626856
484,1,0.00477,974843143
404,1,0.00452,969323664
954,1,0.00465,976904374
516,1,0.00436,960328752
515,1,0.00422,968349749
476,1,0.00411,958173940
523,1,0.00482,974143145
466,1,0.00445,964997669
612,1,0.00446,964451460
703,1,0.00442,977621670
446,1,0.00479,974738905
455,1,0.00464,977026776
589,1,0.00444,964124395
731,1,0.00442,965299538
448,1,0.00481,974477923
477,1,0.00462,966909512
546,1,0.0048,974759252
600,1,0.00399,957375640
525,1,0.00415,959087883
468,1,0.00412,958872539
620,1,0.00461,966783251
439,1,0.00478,973907315
964,1,0.00477,975542998
710,1,0.0048,974689285
500,1,0.00466,966630816
558,1,0.00422,968211955
563,1,0.0048,974730655
564,1,0.00477,975009245
482,1,0.00431,959867403
488,1,0.00478,975421111
511,1,0.00479,974649297
631,1,0.00476,974951236
467,1,0.00445,968644604
445,1,0.00469,966302422
530,1,0.00477,974880971
505,1,0.00439,968175283
679,1,0.00488,972266072
479,1,0.00427,968390533
449,1,0.00436,959973170
641,1,0.00478,975417088
812,1,0.00477,974871164
566,1,0.0048,974713138
715,1,0.00476,974986900
481,1,0.00461,976593473
531,1,0.00463,967528425
528,1,0.00471,975947909
561,1,0.00442,964141334
628,1,0.00421,959190683
581,1,0.00424,961292483
545,1,0.00454,977249364
649,1,0.0048,974768890
551,1,0.00477,975212220
737,1,0.00448,965266396
593,1,0.00443,965333714
667,1,0.00449,964979502
1000,1,0.00449,977431650
691,1,0.00478,974838191
582,1,0.00464,972003539
514,1,0.00476,975099066
617,1,0.00482,973116318
690,1,0.00406,958676060
744,1,0.00443,965411705
501,1,0.00476,975512478
567,1,0.00446,965054296
724,1,0.00426,960260333
661,1,0.0048,974701013
669,1,0.00466,966614804
565,1,0.00457,976672052
602,1,0.00481,974488135
666,1,0.00442,965321244
662,1,0.0048,974730353
862,1,0.00481,974792948
618,1,0.00454,963954811
746,1,0.00468,967278980
689,1,0.00437,962688630
607,1,0.00475,975539695
585,1,0.00403,957310259
920,1,0.00456,971021403
672,1,0.00447,963976752
572,1,0.00477,972919579
805,1,0.00481,972438706
778,1,0.00477,975007313
596,1,0.0048,974768779
676,1,0.00445,965013541
580,1,0.0044,968572243
623,1,0.0048,974697919
972,1,0.00478,974614923
764,1,0.00258,982532827
682,1,0.00446,968474571
604,1,0.00445,962559421
674,1,0.00481,974399153
701,1,0.00476,975381349
771,1,0.00444,965180287
645,1,0.00473,966093552
822,1,0.00482,974086187
748,1,0.00418,960072584
692,1,0.00481,974039364
765,1,0.00442,965307176
848,1,0.00415,958171914
637,1,0.0048,974699363
595,1,0.00468,966350349
680,1,0.00488,973210981
833,1,0.0042,978229817
633,1,0.00382,984249918
652,1,0.00445,962679976
952,1,0.00489,973216759
654,1,0.00445,965143746
655,1,0.00469,976300855
625,1,0.00479,972965478
736,1,0.00448,965217504
670,1,0.00408,958626117
705,1,0.00462,966796286
796,1,0.00437,959703009
751,1,0.00463,967525614
753,1,0.00477,974607964
700,1,0.00452,968517400
816,1,0.00426,978219634
699,1,0.00462,1037737692
986,1,0.00471,965932164
681,1,0.00433,978132571
632,1,0.00469,976302951
671,1,0.00469,966301607
702,1,0.00477,974843870
657,1,0.0048,974757796
717,1,0.00478,975113574
726,1,0.00443,965452460
791,1,0.00477,975628091
727,1,0.00488,973350187
739,1,0.00438,959914194
706,1,0.00472,966159930
678,1,0.00442,965310711
755,1,0.00487,973317890
707,1,0.00469,966401580
824,1,0.00481,973128907
756,1,0.0047,976246005
743,1,0.00445,965502323
995,1,0.00471,966016610
686,1,0.00439,970289911
859,1,0.00444,963618093
814,1,0.00457,965714634
883,1,0.00447,1039273119
948,1,0.00443,964121679
720,1,0.00436,961550769
885,1,0.00471,976235443
688,1,0.00444,965350386
757,1,0.00472,975856734
841,1,0.00478,974854078
922,1,0.00477,975546964
774,1,0.00477,975007898
801,1,0.00435,959968966
750,1,0.00434,962898569
802,1,0.00458,976647191
906,1,0.00442,965312284
879,1,0.00476,975344323
787,1,0.0042,962332698
950,1,0.00481,974054519
839,1,0.00456,965618181
749,1,0.00419,958148457
949,1,0.00435,959726921
738,1,0.00485,974064234
770,1,0.00478,975175384
916,1,0.00463,971329119
835,1,0.00445,965416833
917,1,0.00481,974790847
799,1,0.0047,966226178
983,1,0.00442,965314862
890,1,0.00482,973190317
760,1,0.00443,964735903
944,1,0.00477,974605912
781,1,0.00445,964211962
970,1,0.00442,965329783
896,1,0.00478,975122980
900,1,0.00466,966630093
846,1,0.00448,965560434
865,1,0.00414,960844893
925,1,0.0048,974570936
782,1,0.00421,959267235
845,1,0.00475,975660622
988,1,0.00477,974938128
838,1,0.00444,965177316
994,1,0.00453,965244971
966,1,0.00436,959971952
842,1,0.00373,997831840
898,1,0.00458,976652898
892,1,0.00481,974824416
911,1,0.00439,968052195
855,1,0.00444,962661601
973,1,0.00463,967566308
798,1,0.00478,975394638
800,1,0.00472,975860782
871,1,0.00476,975375082
974,1,0.00442,965507202
976,1,0.00471,966018971
981,1,0.00421,960692172
943,1,0.00442,965164429
894,1,0.00476,975560590
958,1,0.00414,957425716
793,1,0.00401,957361032
872,1,0.0048,974422218
836,1,0.0048,974737255
904,1,0.0048,974693598
830,1,0.00415,958159174
857,1,0.00433,961541866
827,1,0.00485,971486916
863,1,0.00432,961730706
891,1,0.00442,965175558
874,1,0.00434,968435547
939,1,0.00479,972958693
980,1,0.00359,956861064
870,1,0.00451,971030616
905,1,0.00453,965596512
937,1,0.0048,974687242
957,1,0.00454,965655337
945,1,0.00486,972242788
878,1,0.00477,975210849
875,1,0.00467,976483266
919,1,0.00443,965437297
876,1,0.0048,974697990
850,1,0.0048,974173385
895,1,0.00471,976227132
901,1,0.00447,965069932
946,1,0.0048,974710909
877,1,0.00422,958062348
924,1,0.00427,968197468
935,1,0.00471,965929474
847,1,0.0047,976158741
933,1,0.00462,966962756
899,1,0.00408,958607201
41,2,0.00228,1037468632
5,2,0.0045,974647263
75,2,0.00449,974710449
25,2,0.00453,974598849
11,2,0.00432,965804566
18,2,0.00451,974637210
495,2,0.00449,974707456
1,2,0.00451,959217499
139,2,0.00446,964222053
12,2,0.00412,966973963
47,2,0.00456,974411653
76,2,0.00453,974920538
3,2,0.00463,972484973
57,2,0.00425,978577734
21,2,0.0042,966610415
110,2,0.00436,965281886
262,2,0.00431,965709215
58,2,0.00438,961939672
16,2,0.00458,976833544
36,2,0.00465,963866647
37,2,0.00449,959866856
63,2,0.00741,1008916318
64,2,0.00415,967326963
113,2,0.00458,961528455
95,2,0.00439,965426919
191,2,0.00456,973626912
123,2,0.00443,962366754
205,2,0.00444,965059744
33,2,0.00453,974162379
193,2,0.00416,967511689
117,2,0.00447,974834431
59,2,0.0042,966017267
22,2,0.00449,974779414
17,2,0.00449,974699271
233,2,0.00446,965159929
14,2,0.00416,966096707
19,2,0.00431,978212628
66,2,0.00434,965364083
43,2,0.00459,957722080
48,2,0.00461,957714276
105,2,0.00453,974084596
310,2,0.0044,965278428
40,2,0.00431,958430366
61,2,0.00463,957669680
230,2,0.0045,974658116
126,2,0.00457,976227686
27,2,0.00455,974494547
176,2,0.00448,965184074
98,2,0.0045,974749872
91,2,0.00401,979767090
35,2,0.00449,974693739
50,2,0.00415,967606693
158,2,0.00418,978102812
73,2,0.00457,976217679
89,2,0.00415,966998804
44,2,0.00486,956783578
177,2,0.00443,962370285
86,2,0.00449,974693738
83,2,0.00352,969642541
128,2,0.0037,971327225
45,2,0.00448,962933505
84,2,0.0046,957284808
363,2,0.00369,968391156
167,2,0.00469,963258425
74,2,0.00432,965678073
70,2,0.00423,965932201
72,2,0.00446,975428829
29,2,0.00449,974707446
142,2,0.00456,973375763
38,2,0.00439,959992591
431,2,0.00449,974703920
46,2,0.00447,975388408
136,2,0.00469,963274831
90,2,0.00415,972054763
196,2,0.00448,974823168
187,2,0.00424,977427808
100,2,0.00445,965087635
56,2,0.00457,976817277
130,2,0.00418,980123740
82,2,0.00412,978040690
99,2,0.00438,962258027
115,2,0.00453,974939434
140,2,0.00448,965186036
153,2,0.00294,995002540
135,2,0.0036,968640505
127,2,0.00439,962492422
166,2,0.00451,975602223
122,2,0.00431,962669162
103,2,0.00466,972439800
78,2,0.00454,976527029
69,2,0.00434,962685939
96,2,0.00457,976124993
108,2,0.00467,972413466
79,2,0.00454,959441682
180,2,0.0046,964126593
173,2,0.00442,964997914
326,2,0.00447,974776840
118,2,0.00451,959216578
172,2,0.00452,975133545
186,2,0.00349,968905592
104,2,0.00449,973748587
348,2,0.00444,965015705
165,2,0.00448,974780919
151,2,0.00459,957235271
144,2,0.00458,976773752
156,2,0.00456,974421283
214,2,0.00453,974600608
97,2,0.00432,965586859
119,2,0.00434,977337263
198,2,0.00443,959580743
112,2,0.00489,956856337
138,2,0.0045,974854552
182,2,0.00414,967305396
372,2,0.0045,974763301
154,2,0.00416,966119949
129,2,0.00306,984509787
218,2,0.00435,962680393
162,2,0.00454,959353255
148,2,0.00338,970843883
229,2,0.00414,967347042
252,2,0.00428,962601427
168,2,0.00423,958162856
393,2,0.00451,959210970
174,2,0.00453,974866616
249,2,0.00452,961092406
175,2,0.00451,974616280
246,2,0.00431,965702592
188,2,0.00414,967941320
161,2,0.00269,1013127331
202,2,0.00467,963265006
159,2,0.00448,974770753
171,2,0.00451,975583372
125,2,0.0046,974259348
215,2,0.00454,975995627
185,2,0.00417,966445071
237,2,0.00326,1001709097
217,2,0.0045,974760591
266,2,0.00455,974951546
225,2,0.0045,962936848
344,2,0.00431,965713651
584,2,0.00439,959909929
155,2,0.00449,974728231
181,2,0.00258,986002511
199,2,0.0043,962632746
169,2,0.00449,974742885
219,2,0.00408,977543301
223,2,0.00453,976933449
665,2,0.0045,975358589
189,2,0.00428,962607595
271,2,0.00453,974592229
598,2,0.00421,977850778
272,2,0.00449,974694843
206,2,0.00449,974712134
240,2,0.00271,1021901681
227,2,0.00449,974837767
248,2,0.00449,974693943
228,2,0.00429,962643509
220,2,0.00416,967335410
456,2,0.0045,975368277
239,2,0.00451,974611227
295,2,0.00419,966603427
242,2,0.00454,975958493
208,2,0.00438,959912985
243,2,0.00452,960861206
330,2,0.00458,976296547
260,2,0.00444,965063362
374,2,0.00455,974488127
578,2,0.0045,975343428
304,2,0.00453,974880123
380,2,0.00352,968918805
253,2,0.0045,975792887
311,2,0.00453,974596147
213,2,0.00442,958010859
410,2,0.00452,959300783
513,2,0.00449,974691560
212,2,0.00437,965351860
277,2,0.00447,973981057
438,2,0.00427,965860347
269,2,0.00463,957373623
257,2,0.00458,972790580
332,2,0.00468,963324338
210,2,0.00416,966092414
381,2,0.00448,974777721
365,2,0.0043,962737841
258,2,0.00449,974667964
238,2,0.00454,974999641
367,2,0.00444,965242658
263,2,0.00455,972703189
435,2,0.0045,975864157
403,2,0.00448,974817673
334,2,0.00336,970512169
307,2,0.00397,968006700
312,2,0.00334,971107615
405,2,0.00451,974611572
236,2,0.00445,965200543
369,2,0.00327,971063486
255,2,0.00449,973905521
291,2,0.00453,974928280
490,2,0.00345,971212168
294,2,0.00337,970441828
303,2,0.00379,980447807
417,2,0.00453,974887300
504,2,0.00429,965783687
336,2,0.00366,982121545
298,2,0.0046,963794984
395,2,0.00454,976761400
562,2,0.00457,976204696
378,2,0.0045,975190842
442,2,0.00429,965765472
278,2,0.00427,958530287
308,2,0.00436,965323896
270,2,0.00447,965098647
305,2,0.00449,974742809
386,2,0.00418,978103665
447,2,0.00453,974929480
422,2,0.00431,965671647
315,2,0.00449,974740247
329,2,0.00451,974646414
347,2,0.00446,975436251
316,2,0.00452,975162979
337,2,0.00459,957314697
301,2,0.00453,974887815
397,2,0.00415,967038638
317,2,0.00439,962912782
521,2,0.00451,972988298
273,2,0.00432,965584854
454,2,0.00418,966692301
400,2,0.00436,965314811
599,2,0.00417,966516252
318,2,0.00454,975987451
361,2,0.00457,960255632
339,2,0.00474,963546007
345,2,0.00444,965242822
327,2,0.00453,974600609
474,2,0.00457,976203174
325,2,0.00456,960350387
333,2,0.00454,976046828
313,2,0.00416,967682889
425,2,0.00417,967240704
346,2,0.00449,974683506
533,2,0.0045,974757295
426,2,0.0045,973828695
537,2,0.00429,965789474
534,2,0.00456,976441935
338,2,0.00455,961180086
357,2,0.00444,964978506
389,2,0.00418,966570490
335,2,0.00455,974337096
444,2,0.0045,962936952
366,2,0.00449,974694477
399,2,0.00419,966639775
414,2,0.00451,975646806
370,2,0.00447,973997017
496,2,0.00425,977433384
465,2,0.00433,965339579
520,2,0.00448,974820986
411,2,0.0046,960764024
428,2,0.00419,966633994
740,2,0.00436,1006399681
487,2,0.00441,962834603
412,2,0.00412,966966717
779,2,0.00452,961476022
486,2,0.00437,965410779
391,2,0.00448,973262431
517,2,0.0045,975189854
503,2,0.00462,972588198
388,2,0.00441,959999952
433,2,0.00444,965071750
451,2,0.0044,962762629
725,2,0.00445,965277159
642,2,0.00432,965708836
427,2,0.00454,973657637
424,2,0.00453,974861249
556,2,0.00456,976223590
471,2,0.00445,975448071
489,2,0.00359,968416553
390,2,0.00449,974705499
408,2,0.0045,974654806
407,2,0.00454,974998805
548,2,0.00448,974781486
663,2,0.00451,975877740
591,2,0.00452,976670759
543,2,0.00422,979336266
508,2,0.00436,965408299
463,2,0.00454,957748250
469,2,0.00368,968387667
448,2,0.00455,974491053
546,2,0.0045,974758957
497,2,0.00436,965513605
429,2,0.00466,964018826
452,2,0.00433,965331297
468,2,0.00432,958873132
439,2,0.00448,973909929
542,2,0.00416,966136897
710,2,0.00449,974692439
500,2,0.00417,966020488
571,2,0.00442,958007409
563,2,0.00449,974779739
529,2,0.00445,965175266
511,2,0.0045,974649920
467,2,0.0036,968644110
494,2,0.00437,961897838
509,2,0.00415,966187852
530,2,0.00453,974881252
462,2,0.00334,970500872
505,2,0.00346,1003795070
639,2,0.00455,977033040
449,2,0.00442,959972893
605,2,0.00449,974711825
594,2,0.00428,962606945
592,2,0.00454,961271682
555,2,0.00438,962686742
611,2,0.00429,958494534
715,2,0.00454,974988235
636,2,0.00429,965781990
481,2,0.00452,976594612
531,2,0.00416,967529102
528,2,0.00453,975948493
789,2,0.00444,964673313
628,2,0.00451,959190575
581,2,0.0045,961293417
709,2,0.00458,976363518
538,2,0.00357,970188817
590,2,0.00449,974690031
576,2,0.00425,958254955
711,2,0.00472,956751214
737,2,0.00445,965267730
491,2,0.00449,974687829
667,2,0.00444,964980062
582,2,0.00386,971853716
514,2,0.0045,975097588
617,2,0.00449,973116726
597,2,0.00449,974704845
690,2,0.00426,958675452
501,2,0.0045,975512831
567,2,0.00637,1009931150
624,2,0.00437,965526828
559,2,0.00454,959806144
626,2,0.00459,974295544
502,2,0.00448,973222341
565,2,0.00452,976671359
602,2,0.00455,974487912
666,2,0.00436,965321906
522,2,0.00443,962347634
544,2,0.00429,962641812
615,2,0.00454,974966064
539,2,0.00451,959215115
536,2,0.00446,972177464
746,2,0.00414,967278291
634,2,0.00424,962587941
607,2,0.00453,975622264
585,2,0.00459,957311185
616,2,0.00418,967749835
613,2,0.0045,974748877
570,2,0.00454,976756537
778,2,0.00453,975008425
963,2,0.0034,1026524631
673,2,0.00453,974913592
889,2,0.00436,965310217
960,2,0.00451,957190828
795,2,0.00449,974700715
583,2,0.00439,962155242
764,2,0.00322,982532150
660,2,0.00415,967775978
604,2,0.00429,962559450
674,2,0.00456,974400012
638,2,0.00451,974843026
701,2,0.00451,975892358
687,2,0.00411,972017832
619,2,0.00451,975601971
645,2,0.00416,966091810
769,2,0.00417,967074007
606,2,0.00416,967849980
614,2,0.00433,965345261
622,2,0.00417,966272852
621,2,0.00449,974703602
848,2,0.00429,958172407
637,2,0.00449,974695265
685,2,0.00418,967053468
762,2,0.00447,975453611
595,2,0.0042,966349699
680,2,0.00448,973212062
735,2,0.00461,960975295
648,2,0.00461,972777640
633,2,0.00452,976670616
786,2,0.00254,995250325
716,2,0.00322,971031585
652,2,0.00438,962686899
654,2,0.00446,965160349
664,2,0.0045,975367920
677,2,0.0047,963428199
670,2,0.00428,958628672
684,2,0.00449,974662171
723,2,0.00453,976583981
705,2,0.00255,998254535
683,2,0.00449,974695133
759,2,0.00454,976048178
753,2,0.00453,974607168
742,2,0.00431,962545743
671,2,0.00418,966302091
702,2,0.00451,974843649
926,2,0.0045,959283834
717,2,0.0045,973824400
640,2,0.0046,960142757
726,2,0.0044,965453282
791,2,0.00451,975646656
693,2,0.00425,977431947
819,2,0.00434,962686386
727,2,0.00409,978834906
739,2,0.00424,962595199
758,2,0.00451,975105876
713,2,0.0046,974250948
803,2,0.00449,974696294
707,2,0.00418,966401727
752,2,0.00456,961605574
694,2,0.00454,974582963
866,2,0.00433,965799751
761,2,0.00449,974768213
763,2,0.00448,974771479
718,2,0.00443,962373382
807,2,0.00431,965631913
859,2,0.00467,963617985
695,2,0.00457,976128389
720,2,0.00456,961552348
688,2,0.00437,965354022
766,2,0.00459,976247732
841,2,0.00448,974777511
721,2,0.00472,956756981
732,2,0.00447,965187293
774,2,0.00453,975006717
745,2,0.00436,965319951
750,2,0.00451,962998174
733,2,0.00445,965182686
879,2,0.00453,974910430
728,2,0.00452,961457537
908,2,0.00463,957371449
767,2,0.00459,961547422
902,2,0.00442,959970838
815,2,0.00429,958599014
749,2,0.0046,964117677
851,2,0.0045,974849008
768,2,0.00317,1033341113
729,2,0.00469,957477739
738,2,0.00448,974064083
831,2,0.00429,978298730
890,2,0.00447,973192433
861,2,0.00354,968809260
804,2,0.00452,957144935
781,2,0.00448,964206232
821,2,0.00449,974708910
808,2,0.00419,966005151
865,2,0.00456,960845126
869,2,0.00373,971669614
829,2,0.00434,965357186
782,2,0.00451,959266231
873,2,0.00454,959351613
975,2,0.0045,974747866
988,2,0.00453,974938128
775,2,0.00475,956930171
927,2,0.00468,956969972
842,2,0.00447,975453414
898,2,0.00459,976810469
806,2,0.00416,967333569
907,2,0.00436,965310359
882,2,0.00451,974611635
798,2,0.00447,975394065
792,2,0.00452,974857689
800,2,0.0045,975861118
871,2,0.0045,975356701
974,2,0.00435,965509356
854,2,0.00452,975134184
853,2,0.00433,965334381
976,2,0.0042,966018532
912,2,0.00463,963975537
962,2,0.00413,966146026
881,2,0.00418,966432124
887,2,0.00453,974161891
888,2,0.00417,966580101
953,2,0.00417,966039543
823,2,0.0045,974658346
932,2,0.0043,962574303
894,2,0.00452,975559615
810,2,0.00435,958778253
872,2,0.00458,974223136
836,2,0.00449,974742945
880,2,0.00447,974776656
830,2,0.00423,958160638
857,2,0.00459,961542047
844,2,0.00463,957374532
863,2,0.00463,961730411
860,2,0.00469,963491818
856,2,0.00455,959815617
942,2,0.00458,976341701
905,2,0.00436,965513406
878,2,0.0045,975209920
876,2,0.00449,974703610
813,2,0.00224,998323316
941,2,0.00437,965351045
867,2,0.00459,976338785
924,2,0.00383,968197755
935,2,0.00423,965930554
931,2,0.00436,965314655
847,2,0.00422,977449071
933,2,0.00412,966962047
8,3,0.00417,965303835
41,3,0.00388,974061947
10,3,0.00407,966882134
6,3,0.00355,971116501
5,3,0.00391,976751668
7,3,0.0048,958422813
75,3,0.0039,974709678
94,3,0.0039,974691584
77,3,0.00456,962670651
11,3,0.00409,965804641
4,3,0.0049,957373193
1,3,0.00378,972505497
197,3,0.00394,974850930
65,3,0.00463,960648921
12,3,0.00406,966974434
15,3,0.00407,967062961
30,3,0.0039,974730509
47,3,0.00395,974411022
76,3,0.00393,975463638
26,3,0.00407,967427304
3,3,0.00378,972479193
21,3,0.00403,966610395
110,3,0.00417,965279212
58,3,0.00454,961939392
16,3,0.00322,981145181
36,3,0.00439,963866647
2,3,0.00461,961702829
63,3,0.00414,965434988
64,3,0.00405,967337626
113,3,0.00468,961528350
95,3,0.00413,965426569
123,3,0.00454,962366770
28,3,0.00437,962754313
23,3,0.00392,974610119
205,3,0.00423,965059713
33,3,0.00392,974162345
32,3,0.0075,999112887
93,3,0.00414,965855254
81,3,0.00519,956801533
59,3,0.0041,966016808
22,3,0.0039,974779810
20,3,0.00376,971448896
111,3,0.00436,963997480
19,3,0.00402,978212645
66,3,0.00415,965364083
39,3,0.00407,967133863
48,3,0.00477,957714235
61,3,0.00479,957670398
54,3,0.00396,975200023
126,3,0.00394,976228250
27,3,0.00393,974494547
176,3,0.00424,965184074
51,3,0.00392,976212569
98,3,0.00391,974749872
